公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數,Latitude,Longitude
2543,皇昌,14,台北市內湖區潭美街539號23樓,官心惠,"$5,323,839,610","532,383,961",25.0612235,121.5995171
2545,皇翔,14,台北市博愛路38號8樓,游玉華,"$3,797,348,080","379,734,808",25.0458958,121.5111689
2546,根基,14,台北市松山區民權東路三段169號9樓,范錦華,"$1,305,241,930","130,524,193",25.0622998,121.547451
2547,日勝生,14,台北市大同區市民大道一段209號14樓,陳婷婷,"$10,350,946,490","1,035,094,649",25.049116,121.5185352
2548,華固,14,台北市信義路四段456號7樓,劉若梅,"$3,197,186,970","319,718,697",25.0327501,121.558558
2597,潤弘,14,台北市中山區八德路二段308號10樓,曹昌盛,"$3,107,160,000","310,716,000",25.0469264,121.5425248
2601,益航,18,台北市復興南路二段237號14樓,林燕玲,"$8,247,760,670","824,776,067",25.0258844,121.5435746
2603,長榮,15,台北市中山區民生東路二段166號,吳光輝,"$21,650,429,960","2,165,042,996",25.057629,121.5341903
2605,新興,15,台北市大安區復興南路一段368號14樓,許志鴻,"$5,853,532,970","585,353,297",25.0349719,121.5433011
2606,裕民,15,台北市敦化南路二段207號29樓,張宗良,"$8,450,557,120","845,055,712",25.0260072,121.5493964
2607,榮運,15,桃園市桃園區經國路899號,林振芳,"$5,335,705,470","533,570,547",25.0326081,121.3000974
2608,嘉里大榮,15,台北市中正區新生南路一段50號14樓,阮慧雯,"$4,670,004,980","467,000,498",25.0419046,121.5325363
2609,陽明,15,基隆市七堵區明德一路271號,李明輝,"$34,921,042,700","3,492,104,270",25.0944587,121.7109313
2610,華航,15,桃園市大園區航站南路一號,魯淑慧,"$60,839,235,590","6,083,923,559",25.0747199,121.231015
2611,志信,15,台北市大安區市民大道三段206號6樓,陳秀奇,"$1,890,022,720","189,002,272",25.0443192,121.5398784
2612,中航,15,台北市濟南路一段15號9樓,唐邦正,"$1,974,845,930","197,484,593",25.0426165,121.5223845
2613,中櫃,15,新北市汐止區大同路三段二七五號,陳政宏,"$1,484,234,580","148,423,458",25.0765543,121.6728208
2614,東森,20,台北市復興南路一段368號8樓,周惠英,"$3,272,649,460","327,264,946",25.0348427,121.5432866
