broker_id,broker_name,buy,sell,net,net_lot
9268,凱基台北,21518039,19090569,2427470,2427.5
1360,港商麥格理,2194000,43000,2151000,2151.0
1590,花旗環球,2317000,1287000,1030000,1030.0
9300,華南永昌,2205846,1227487,978359,978.4
9359,永昌中正,770271,177420,592851,592.9
779Z,國票安和,1415531,865611,549920,549.9
9216,凱基信義,1726870,1352500,374370,374.4
9100,群益,3238679,2914392,324287,324.3
8888,國泰敦南,4894042,4571072,322970,323.0
9A9R,永豐金信義,993350,684425,308925,308.9
779c,國票敦北,793290,484539,308751,308.8
9B2n,元富西松,598618,310303,288315,288.3
9871,元大忠孝,1174995,893440,281555,281.6
989A,元大北投,506175,232291,273884,273.9
8960,上海匯豐,437000,195000,242000,242.0
8890,大和國泰,255000,20000,235000,235.0
585U,統一南京,495685,273540,222145,222.1
9897,元大土城,322240,109644,212596,212.6
9323,永昌小港,383930,199846,184084,184.1
9655,富邦板橋,1077601,900744,176857,176.9
