broker_id,broker_name,buy,sell,net,net_lot
9100,群益,647858,198499,449359,449.4
9200,凱基,531010,151000,380010,380.0
779c,國票敦北,324029,33234,290795,290.8
9600,富邦,659322,392041,267281,267.3
1480,美商高盛,1615000,1381000,234000,234.0
1560,港商野村,311000,96000,215000,215.0
8890,大和國泰,133500,0,133500,133.5
7000,兆豐,197260,77289,119971,120.0
9800,元大,1887212,1779647,107565,107.6
5850,統一,392622,289956,102666,102.7
8150,台新,297062,196109,100953,101.0
1020,合庫,93497,7295,86202,86.2
1260,宏遠,90272,10250,80022,80.0
5920,元富,96052,24000,72052,72.1
9A81,永豐匯立,68000,2643,65357,65.4
1590,花旗環球,104500,40000,64500,64.5
1360,港麥格理,68000,9000,59000,59.0
8960,上海匯豐,61000,15000,46000,46.0
8840,玉山,129833,86106,43727,43.7
1470,台灣摩根,585974,543700,42274,42.3
