broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,25213380,9747000,15466380,15466.4
9A81,永豐匯立,13121000,96000,13025000,13025.0
8440,摩根大通,24227464,11431396,12796068,12796.1
9268,凱基台北,27869050,16473934,11395116,11395.1
1650,瑞銀,27842263,18569000,9273263,9273.3
1480,美商高盛,31229000,23813684,7415316,7415.3
1560,港商野村,7444941,749879,6695062,6695.1
1440,美林,10871673,4470000,6401673,6401.7
8960,上海匯豐,5843100,59332,5783768,5783.8
1590,花旗環球,9252968,3541304,5711664,5711.7
7007,兆豐竹北,3902000,126685,3775315,3775.3
9600,富邦,5290941,1947316,3343625,3343.6
9800,元大,17224195,13955539,3268656,3268.7
6160,中國信託,3656138,1085738,2570400,2570.4
1260,宏遠,1872000,362000,1510000,1510.0
8150,台新,2745298,1769300,975998,976.0
9300,華南永昌,1368127,437396,930731,930.7
8880,國泰綜合,1109588,370035,739553,739.6
9101,群益敦南,484200,82500,401700,401.7
9B20,元富營業,393130,157,392973,393.0
