broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,1549945,490807,1059138,1059.1
1480,美商高盛,2098000,1337000,761000,761.0
8440,摩根大通,1025000,590000,435000,435.0
1650,瑞銀,987553,585000,402553,402.6
1440,美林,881000,562518,318482,318.5
1590,花旗環球,314000,19000,295000,295.0
9268,凱基台北,2142436,2025118,117318,117.3
9872,元大復北,103238,18576,84662,84.7
989A,元大北投,130834,53900,76934,76.9
8151,台新建北,184959,122840,62119,62.1
9676,富邦仁愛,314570,257409,57161,57.2
9216,凱基信義,270460,228197,42263,42.3
779u,國票長城,60067,20639,39428,39.4
9300,華南永昌,185724,150117,35607,35.6
104A,臺銀臺中,44380,16690,27690,27.7
9200,凱基,258540,233300,25240,25.2
8150,台新,607377,584787,22590,22.6
9326,華南南京,59014,37504,21510,21.5
982F,元大忠鼎,75181,55525,19656,19.7
9B00,元富證券,36327,16730,19597,19.6
