broker_id,broker_name,buy,sell,net,net_lot
9200,凱基,4138142,629001,3509141,3509.1
1590,花旗環球,3365550,543000,2822550,2822.6
9268,凱基台北,10385598,7729948,2655650,2655.6
9A81,永豐匯立,2588328,25000,2563328,2563.3
8440,摩根大通,5848376,4257020,1591356,1591.4
1470,台灣摩根,6043990,4757976,1286014,1286.0
8960,上海匯豐,1314000,71000,1243000,1243.0
1560,港商野村,1392000,556000,836000,836.0
7000,兆豐,662080,163368,498712,498.7
6160,中國信託,621475,382682,238793,238.8
1040,臺銀,339506,108879,230627,230.6
1030,土銀,261182,52800,208382,208.4
9B20,元富營業,175210,8205,167005,167.0
8880,國泰綜合,629251,506781,122470,122.5
5380,第一金證,219297,101556,117741,117.7
981B,元大竹北,240137,130747,109390,109.4
9871,元大忠孝,320635,223197,97438,97.4
9B00,元富證券,558956,469510,89446,89.4
1360,港麥格理,485250,397400,87850,87.8
9835,元大中山,120000,33632,86368,86.4
